C;c:\optibus\gn_elec345.txt
V;GD345;1;GD20b;1
S;10105090;1323
S;10105110;1324
S;10105130;1325
S;10105150;1326
S;10105170;1327
S;10101570;1328
S;10101550;1328
S;10101000;1329
S;10006010;1329
S;10006030;1330
S;10005900;1331
S;10005990;1333
S;10006270;1335
S;10008390;1337
S;10008330;1338
S;10009015;1340
S;10009015;1342
S;10007260;1346
S;10007220;1347
S;10007185;1348
S;10005910;1349
S;10007160;1350
S;10004012;1351
S;10125870;1351
S;10125870;1352
S;10129131;1353
S;11311431;1359
S;14315620;1361
S;14315520;1362
S;14316430;1364
S;14315320;1365
S;14315320;1365
S;14315920;1366
S;14315020;1367
S;14314920;1368
S;14314420;1369
S;14314510;1370
S;14313710;1372
T;G503;331159;10;10;gngrui;1346;1402;lekoos;gngrui;lekoos;E18B;;;0;1;12345;30.405;;
S;10105330;1346
S;10105040;1347
S;10103640;1348
S;10103620;1349
S;10103960;1350
S;10103580;1350
S;10103560;1351
S;10103600;1352
S;10105090;1353
S;10105110;1354
S;10105130;1355
S;10105150;1356
S;10105170;1357
S;10101570;1358
S;10101550;1358
S;10101000;1359
S;10006010;1359
S;10006030;1360
S;10005900;1361
S;10005990;1363
S;10006270;1365
S;10008390;1367
S;10008330;1368
S;10009015;1370
S;10009015;1372
S;10007260;1376
S;10007220;1377
S;10007185;1378
S;10005910;1379
S;10007160;1380
S;10004012;1381
S;10125870;1381
S;10125870;1382
S;10129131;1383
S;11311431;1389
S;14315620;1391
S;14315520;1392
S;14316430;1394
S;14315320;1395
S;14315320;1395
S;14315920;1396
S;14315020;1397
S;14314920;1398
S;14314820;1399
S;14314720;1400
S;14314620;1402
T;G503;331161;10;00;gngrui;1376;1432;lekbou;gngrui;lekbou;E18B;;;0;1;12345;29.577;;
S;10105330;1376
S;10105040;1377
S;10103640;1378
S;10103620;1379
S;10103960;1380
S;10103580;1380
S;10103560;1381
S;10103600;1382
S;10105090;1383
S;10105110;1384
S;10105130;1385
S;10105150;1386
S;10105170;1387
S;10101570;1388
S;10101550;1388
S;10101000;1389
S;10006010;1389
S;10006030;1390
S;10005900;1391
S;10005990;1393
S;10006270;1395
S;10008390;1397
S;10008330;1398
S;10009015;1400
S;10009015;1402
S;10007260;1406
S;10007220;1407
S;10007185;1408
S;10005910;1409
S;10007160;1410
S;10004012;1411
S;10125870;1411
S;10125870;1412
S;10129131;1413
S;11311431;1419
S;14315620;1421
S;14315520;1422
S;14316430;1424
S;14315320;1425
S;14315320;1425
S;14315920;1426
S;14315020;1427
S;14314920;1428
S;14314420;1429
S;14314510;1430
S;14313710;1432
T;G503;331163;10;10;gngrui;1406;1462;lekoos;gngrui;lekoos;E18B;;;0;1;12345;30.405;;
S;10105330;1406
S;10105040;1407
S;10103640;1408
S;10103620;1409
S;10103960;1410
S;10103580;1410
S;10103560;1411
S;10103600;1412
S;10105090;1413
S;10105110;1414
S;10105130;1415
S;10105150;1416
S;10105170;1417
S;10101570;1418
S;10101550;1418
S;10101000;1419
S;10006010;1419
S;10006030;1420
S;10005900;1421
S;10005990;1423
S;10006270;1425
S;10008390;1427
S;10008330;1428
S;10009015;1430
S;10009015;1432
S;10007260;1436
S;10007220;1437
S;10007185;1438
S;10005910;1439
S;10007160;1440
S;10004012;1441
S;10125870;1441
S;10125870;1442
S;10129131;1443
S;11311431;1449
S;14315620;1451
S;14315520;1452
S;14316430;1454
S;14315320;1455
S;14315320;1455
S;14315920;1456
S;14315020;1457
S;14314920;1458
S;14314820;1459
S;14314720;1460
S;14314620;1462
T;G503;331165;10;00;gngrui;1436;1492;lekbou;gngrui;lekbou;E18B;;;0;1;12345;29.577;;
S;10105330;1436
S;10105040;1437
S;10103640;1438
S;10103620;1439
S;10103960;1440
S;10103580;1440
S;10103560;1441
S;10103600;1442
S;10105090;1443
S;10105110;1444
S;10105130;1445
S;10105150;1446
S;10105170;1447
S;10101570;1448
S;10101550;1448
S;10101000;1449
S;10006010;1449
S;10006030;1450
S;10005900;1451
S;10005990;1453
S;10006270;1455
S;10008390;1457
S;10008330;1458
S;10009015;1460
S;10009015;1462
S;10007260;1466
S;10007220;1467
S;10007185;1468
S;10005910;1469
S;10007160;1470
S;10004012;1471
S;10125870;1471
S;10125870;1472
S;10129131;1473
S;11311431;1479
S;14315620;1481
S;14315520;1482
S;14316430;1484
S;14315320;1485
S;14315320;1485
S;14315920;1486
S;14315020;1487
S;14314920;1488
S;14314420;1489
S;14314510;1490
S;14313710;1492
T;G503;331167;10;10;gngrui;1466;1522;lekoos;gngrui;lekoos;E18B;;;0;1;12345;30.405;;
S;10105330;1466
S;10105040;1467
S;10103640;1468
S;10103620;1469
S;10103960;1470
S;10103580;1470
S;10103560;1471
S;10103600;1472
S;10105090;1473
S;10105110;1474
S;10105130;1475
S;10105150;1476
S;10105170;1477
S;10101570;1478
S;10101550;1478
S;10101000;1479
S;10006010;1479
S;10006030;1480
S;10005900;1481
S;10005990;1483
S;10006270;1485
S;10008390;1487
S;10008330;1488
S;10009015;1490
S;10009015;1492
S;10007260;1496
S;10007220;1497
S;10007185;1498
S;10005910;1499
S;10007160;1500
S;10004012;1501
S;10125870;1501
S;10125870;1502
S;10129131;1503
S;11311431;1509
S;14315620;1511
S;14315520;1512
S;14316430;1514
S;14315320;1515
S;14315320;1515
S;14315920;1516
S;14315020;1517
S;14314920;1518
S;14314820;1519
S;14314720;1520
S;14314620;1522
T;G503;331010;11;00;lekbou;314;369;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;314
S;14314520;315
S;14314410;316
S;14314910;317
S;14315010;318
S;14315910;319
S;14315310;320
S;14315310;320
S;14316440;321
S;14315510;323
S;14315830;325
S;14311131;326
S;11319012;332
S;10125860;333
S;10125860;334
S;10124000;334
S;10007170;335
S;10005920;336
S;10007195;338
S;10007210;339
S;10007250;340
S;10009019;344
S;10009019;346
S;10008340;347
S;10008380;348
S;10006280;350
S;10005890;351
S;10006060;353
S;10006040;354
S;10006020;355
S;10001010;356
S;10101560;357
S;10101580;357
S;10105180;358
S;10105160;359
S;10105140;360
S;10105120;361
S;10103410;362
S;10103650;363
S;10103550;364
S;10103570;365
S;10103950;365
S;10103610;366
S;10103630;367
S;10105030;368
S;10105330;369
T;G503;331012;11;10;lekoos;354;409;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;354
S;14314710;355
S;14314810;356
S;14314910;357
S;14315010;358
S;14315910;359
S;14315310;360
S;14315310;360
S;14316440;361
S;14315510;363
S;14315830;365
S;14311131;366
S;11319012;372
S;10125860;373
S;10125860;374
S;10124000;374
S;10007170;375
S;10005920;376
S;10007195;378
S;10007210;379
S;10007250;380
S;10009019;384
S;10009019;386
S;10008340;387
S;10008380;388
S;10006280;390
S;10005890;391
S;10006060;393
S;10006040;394
S;10006020;395
S;10001010;396
S;10101560;397
S;10101580;397
S;10105180;398
S;10105160;399
S;10105140;400
S;10105120;401
S;10103410;402
S;10103650;403
S;10103550;404
S;10103570;405
S;10103950;405
S;10103610;406
S;10103630;407
S;10105030;408
S;10105330;409
T;G503;331014;11;00;lekbou;379;434;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;379
S;14314520;380
S;14314410;381
S;14314910;382
S;14315010;383
S;14315910;384
S;14315310;385
S;14315310;385
S;14316440;386
S;14315510;388
S;14315830;390
S;14311131;391
S;11319012;397
S;10125860;398
S;10125860;399
S;10124000;399
S;10007170;400
S;10005920;401
S;10007195;403
S;10007210;404
S;10007250;405
S;10009019;409
S;10009019;411
S;10008340;412
S;10008380;413
S;10006280;415
S;10005890;416
S;10006060;418
S;10006040;419
S;10006020;420
S;10001010;421
S;10101560;422
S;10101580;422
S;10105180;423
S;10105160;424
S;10105140;425
S;10105120;426
S;10103410;427
S;10103650;428
S;10103550;429
S;10103570;430
S;10103950;430
S;10103610;431
S;10103630;432
S;10105030;433
S;10105330;434
T;G503;331016;11;10;lekoos;395;456;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;395
S;14314710;396
S;14314810;397
S;14314910;398
S;14315010;399
S;14315910;400
S;14315310;401
S;14315310;401
S;14316440;402
S;14315510;404
S;14315830;406
S;14311131;407
S;11319012;413
S;10125860;414
S;10125860;415
S;10124000;415
S;10007170;416
S;10005920;417
S;10007195;419
S;10007210;420
S;10007250;422
S;10009019;427
S;10009019;429
S;10008340;430
S;10008380;432
S;10006280;434
S;10005890;436
S;10006060;438
S;10006040;440
S;10006020;441
S;10001010;442
S;10101560;443
S;10101580;444
S;10105180;445
S;10105160;446
S;10105140;447
S;10105120;448
S;10103410;449
S;10103650;450
S;10103550;451
S;10103570;452
S;10103950;452
S;10103610;453
S;10103630;454
S;10105030;455
S;10105330;456
T;G503;331018;11;00;lekbou;409;471;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;409
S;14314520;410
S;14314410;411
S;14314910;412
S;14315010;413
S;14315910;414
S;14315310;415
S;14315310;415
S;14316440;416
S;14315510;418
S;14315830;420
S;14311131;422
S;11319012;428
S;10125860;429
S;10125860;430
S;10124000;430
S;10007170;431
S;10005920;432
S;10007195;434
S;10007210;435
S;10007250;437
S;10009019;442
S;10009019;444
S;10008340;445
S;10008380;447
S;10006280;449
S;10005890;451
S;10006060;453
S;10006040;455
S;10006020;456
S;10001010;457
S;10101560;458
S;10101580;459
S;10105180;460
S;10105160;461
S;10105140;462
S;10105120;463
S;10103410;464
S;10103650;465
S;10103550;466
S;10103570;467
S;10103950;467
S;10103610;468
S;10103630;469
S;10105030;470
S;10105330;471
T;G503;331020;11;10;lekoos;422;486;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;422
S;14314710;423
S;14314810;424
S;14314910;425
S;14315010;426
S;14315910;427
S;14315310;429
S;14315310;429
S;14316440;431
S;14315510;433
S;14315830;435
S;14311131;437
S;11319012;443
S;10125860;444
S;10125860;445
S;10124000;445
S;10007170;446
S;10005920;447
S;10007195;449
S;10007210;450
S;10007250;452
S;10009019;457
S;10009019;459
S;10008340;460
S;10008380;462
S;10006280;464
S;10005890;466
S;10006060;468
S;10006040;470
S;10006020;471
S;10001010;472
S;10101560;473
S;10101580;474
S;10105180;475
S;10105160;476
S;10105140;477
S;10105120;478
S;10103410;479
S;10103650;480
S;10103550;481
S;10103570;482
S;10103950;482
S;10103610;483
S;10103630;484
S;10105030;485
S;10105330;486
T;G503;331022;11;00;lekbou;432;496;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;432
S;14314520;433
S;14314410;434
S;14314910;435
S;14315010;436
S;14315910;437
S;14315310;439
S;14315310;439
S;14316440;441
S;14315510;443
S;14315830;445
S;14311131;447
S;11319012;453
S;10125860;454
S;10125860;455
S;10124000;455
S;10007170;456
S;10005920;457
S;10007195;459
S;10007210;460
S;10007250;462
S;10009019;467
S;10009019;469
S;10008340;470
S;10008380;472
S;10006280;474
S;10005890;476
S;10006060;478
S;10006040;480
S;10006020;481
S;10001010;482
S;10101560;483
S;10101580;484
S;10105180;485
S;10105160;486
S;10105140;487
S;10105120;488
S;10103410;489
S;10103650;490
S;10103550;491
S;10103570;492
S;10103950;492
S;10103610;493
S;10103630;494
S;10105030;495
S;10105330;496
T;G503;331024;11;10;lekoos;442;506;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;442
S;14314710;443
S;14314810;444
S;14314910;445
S;14315010;446
S;14315910;447
S;14315310;449
S;14315310;449
S;14316440;451
S;14315510;453
S;14315830;455
S;14311131;457
S;11319012;463
S;10125860;464
S;10125860;465
S;10124000;465
S;10007170;466
S;10005920;467
S;10007195;469
S;10007210;470
S;10007250;472
S;10009019;477
S;10009019;479
S;10008340;480
S;10008380;482
S;10006280;484
S;10005890;486
S;10006060;488
S;10006040;490
S;10006020;491
S;10001010;492
S;10101560;493
S;10101580;494
S;10105180;495
S;10105160;496
S;10105140;497
S;10105120;498
S;10103410;499
S;10103650;500
S;10103550;501
S;10103570;502
S;10103950;502
S;10103610;503
S;10103630;504
S;10105030;505
S;10105330;506
T;G503;331026;11;00;lekbou;450;514;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;450
S;14314520;451
S;14314410;452
S;14314910;453
S;14315010;454
S;14315910;455
S;14315310;457
S;14315310;457
S;14316440;459
S;14315510;461
S;14315830;463
S;14311131;465
S;11319012;471
S;10125860;472
S;10125860;473
S;10124000;473
S;10007170;474
S;10005920;475
S;10007195;477
S;10007210;478
S;10007250;480
S;10009019;485
S;10009019;487
S;10008340;488
S;10008380;490
S;10006280;492
S;10005890;494
S;10006060;496
S;10006040;498
S;10006020;499
S;10001010;500
S;10101560;501
S;10101580;502
S;10105180;503
S;10105160;504
S;10105140;505
S;10105120;506
S;10103410;507
S;10103650;508
S;10103550;509
S;10103570;510
S;10103950;510
S;10103610;511
S;10103630;512
S;10105030;513
S;10105330;514
T;G503;331028;11;10;lekoos;457;521;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;457
S;14314710;458
S;14314810;459
S;14314910;460
S;14315010;461
S;14315910;462
S;14315310;464
S;14315310;464
S;14316440;466
S;14315510;468
S;14315830;470
S;14311131;472
S;11319012;478
S;10125860;479
S;10125860;480
S;10124000;480
S;10007170;481
S;10005920;482
S;10007195;484
S;10007210;485
S;10007250;487
S;10009019;492
S;10009019;494
S;10008340;495
S;10008380;497
S;10006280;499
S;10005890;501
S;10006060;503
S;10006040;505
S;10006020;506
S;10001010;507
S;10101560;508
S;10101580;509
S;10105180;510
S;10105160;511
S;10105140;512
S;10105120;513
S;10103410;514
S;10103650;515
S;10103550;516
S;10103570;517
S;10103950;517
S;10103610;518
S;10103630;519
S;10105030;520
S;10105330;521
T;G503;331030;11;00;lekbou;464;528;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;464
S;14314520;465
S;14314410;466
S;14314910;467
S;14315010;468
S;14315910;469
S;14315310;471
S;14315310;471
S;14316440;473
S;14315510;475
S;14315830;477
S;14311131;479
S;11319012;485
S;10125860;486
S;10125860;487
S;10124000;487
S;10007170;488
S;10005920;489
S;10007195;491
S;10007210;492
S;10007250;494
S;10009019;499
S;10009019;501
S;10008340;502
S;10008380;504
S;10006280;506
S;10005890;508
S;10006060;510
S;10006040;512
S;10006020;513
S;10001010;514
S;10101560;515
S;10101580;516
S;10105180;517
S;10105160;518
S;10105140;519
S;10105120;520
S;10103410;521
S;10103650;522
S;10103550;523
S;10103570;524
S;10103950;524
S;10103610;525
S;10103630;526
S;10105030;527
S;10105330;528
T;G503;331032;11;10;lekoos;472;536;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;472
S;14314710;473
S;14314810;474
S;14314910;475
S;14315010;476
S;14315910;477
S;14315310;479
S;14315310;479
S;14316440;481
S;14315510;483
S;14315830;485
S;14311131;487
S;11319012;493
S;10125860;494
S;10125860;495
S;10124000;495
S;10007170;496
S;10005920;497
S;10007195;499
S;10007210;500
S;10007250;502
S;10009019;507
S;10009019;509
S;10008340;510
S;10008380;512
S;10006280;514
S;10005890;516
S;10006060;518
S;10006040;520
S;10006020;521
S;10001010;522
S;10101560;523
S;10101580;524
S;10105180;525
S;10105160;526
S;10105140;527
S;10105120;528
S;10103410;529
S;10103650;530
S;10103550;531
S;10103570;532
S;10103950;532
S;10103610;533
S;10103630;534
S;10105030;535
S;10105330;536
T;G503;331034;11;00;lekbou;482;546;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;482
S;14314520;483
S;14314410;484
S;14314910;485
S;14315010;486
S;14315910;487
S;14315310;489
S;14315310;489
S;14316440;491
S;14315510;493
S;14315830;495
S;14311131;497
S;11319012;503
S;10125860;504
S;10125860;505
S;10124000;505
S;10007170;506
S;10005920;507
S;10007195;509
S;10007210;510
S;10007250;512
S;10009019;517
S;10009019;519
S;10008340;520
S;10008380;522
S;10006280;524
S;10005890;526
S;10006060;528
S;10006040;530
S;10006020;531
S;10001010;532
S;10101560;533
S;10101580;534
S;10105180;535
S;10105160;536
S;10105140;537
S;10105120;538
S;10103410;539
S;10103650;540
S;10103550;541
S;10103570;542
S;10103950;542
S;10103610;543
S;10103630;544
S;10105030;545
S;10105330;546
T;G503;331036;11;10;lekoos;492;555;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;492
S;14314710;493
S;14314810;494
S;14314910;495
S;14315010;496
S;14315910;497
S;14315310;499
S;14315310;499
S;14316440;501
S;14315510;503
S;14315830;505
S;14311131;507
S;11319012;513
S;10125860;514
S;10125860;515
S;10124000;515
S;10007170;516
S;10005920;517
S;10007195;519
S;10007210;520
S;10007250;522
S;10009019;527
S;10009019;529
S;10008340;530
S;10008380;532
S;10006280;534
S;10005890;536
S;10006060;538
S;10006040;540
S;10006020;541
S;10001010;542
S;10101560;543
S;10101580;543
S;10105180;544
S;10105160;545
S;10105140;546
S;10105120;547
S;10103410;548
S;10103650;549
S;10103550;550
S;10103570;551
S;10103950;551
S;10103610;552
S;10103630;553
S;10105030;554
S;10105330;555
T;G503;331038;11;00;lekbou;502;565;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;502
S;14314520;503
S;14314410;504
S;14314910;505
S;14315010;506
S;14315910;507
S;14315310;509
S;14315310;509
S;14316440;511
S;14315510;513
S;14315830;515
S;14311131;517
S;11319012;523
S;10125860;524
S;10125860;525
S;10124000;525
S;10007170;526
S;10005920;527
S;10007195;529
S;10007210;530
S;10007250;532
S;10009019;537
S;10009019;539
S;10008340;540
S;10008380;542
S;10006280;544
S;10005890;546
S;10006060;548
S;10006040;550
S;10006020;551
S;10001010;552
S;10101560;553
S;10101580;553
S;10105180;554
S;10105160;555
S;10105140;556
S;10105120;557
S;10103410;558
S;10103650;559
S;10103550;560
S;10103570;561
S;10103950;561
S;10103610;562
S;10103630;563
S;10105030;564
S;10105330;565
T;G503;331040;11;10;lekoos;512;575;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;512
S;14314710;513
S;14314810;514
S;14314910;515
S;14315010;516
S;14315910;517
S;14315310;519
S;14315310;519
S;14316440;521
S;14315510;523
S;14315830;525
S;14311131;527
S;11319012;533
S;10125860;534
S;10125860;535
S;10124000;535
S;10007170;536
S;10005920;537
S;10007195;539
S;10007210;540
S;10007250;542
S;10009019;547
S;10009019;549
S;10008340;550
S;10008380;552
S;10006280;554
S;10005890;556
S;10006060;558
S;10006040;560
S;10006020;561
S;10001010;562
S;10101560;563
S;10101580;563
S;10105180;564
S;10105160;565
S;10105140;566
S;10105120;567
S;10103410;568
S;10103650;569
S;10103550;570
S;10103570;571
S;10103950;571
S;10103610;572
S;10103630;573
S;10105030;574
S;10105330;575
T;G503;331042;11;00;lekbou;522;585;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;522
S;14314520;523
S;14314410;524
S;14314910;525
S;14315010;526
S;14315910;527
S;14315310;529
S;14315310;529
S;14316440;531
S;14315510;533
S;14315830;535
S;14311131;537
S;11319012;543
S;10125860;544
S;10125860;545
S;10124000;545
S;10007170;546
S;10005920;547
S;10007195;549
S;10007210;550
S;10007250;552
S;10009019;557
S;10009019;559
S;10008340;560
S;10008380;562
S;10006280;564
S;10005890;566
S;10006060;568
S;10006040;570
S;10006020;571
S;10001010;572
S;10101560;573
S;10101580;573
S;10105180;574
S;10105160;575
S;10105140;576
S;10105120;577
S;10103410;578
S;10103650;579
S;10103550;580
S;10103570;581
S;10103950;581
S;10103610;582
S;10103630;583
S;10105030;584
S;10105330;585
T;G503;331044;11;10;lekoos;533;595;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;533
S;14314710;534
S;14314810;535
S;14314910;536
S;14315010;537
S;14315910;538
S;14315310;540
S;14315310;540
S;14316440;541
S;14315510;543
S;14315830;545
S;14311131;547
S;11319012;553
S;10125860;554
S;10125860;555
S;10124000;555
S;10007170;556
S;10005920;557
S;10007195;559
S;10007210;560
S;10007250;562
S;10009019;567
S;10009019;569
S;10008340;570
S;10008380;572
S;10006280;574
S;10005890;576
S;10006060;578
S;10006040;580
S;10006020;581
S;10001010;582
S;10101560;583
S;10101580;583
S;10105180;584
S;10105160;585
S;10105140;586
S;10105120;587
S;10103410;588
S;10103650;589
S;10103550;590
S;10103570;591
S;10103950;591
S;10103610;592
S;10103630;593
S;10105030;594
S;10105330;595
T;G503;331046;11;00;lekbou;543;605;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;543
S;14314520;544
S;14314410;545
S;14314910;546
S;14315010;547
S;14315910;548
S;14315310;550
S;14315310;550
S;14316440;551
S;14315510;553
S;14315830;555
S;14311131;557
S;11319012;563
S;10125860;564
S;10125860;565
S;10124000;565
S;10007170;566
S;10005920;567
S;10007195;569
S;10007210;570
S;10007250;572
S;10009019;577
S;10009019;579
S;10008340;580
S;10008380;582
S;10006280;584
S;10005890;586
S;10006060;588
S;10006040;590
S;10006020;591
S;10001010;592
S;10101560;593
S;10101580;593
S;10105180;594
S;10105160;595
S;10105140;596
S;10105120;597
S;10103410;598
S;10103650;599
S;10103550;600
S;10103570;601
S;10103950;601
S;10103610;602
S;10103630;603
S;10105030;604
S;10105330;605
T;G503;331048;11;10;lekoos;553;615;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;553
S;14314710;554
S;14314810;555
S;14314910;556
S;14315010;557
S;14315910;558
S;14315310;560
S;14315310;560
S;14316440;561
S;14315510;563
S;14315830;565
S;14311131;567
S;11319012;573
S;10125860;574
S;10125860;575
S;10124000;575
S;10007170;576
S;10005920;577
S;10007195;579
S;10007210;580
S;10007250;582
S;10009019;587
S;10009019;589
S;10008340;590
S;10008380;592
S;10006280;594
S;10005890;596
S;10006060;598
S;10006040;600
S;10006020;601
S;10001010;602
S;10101560;603
S;10101580;603
S;10105180;604
S;10105160;605
S;10105140;606
S;10105120;607
S;10103410;608
S;10103650;609
S;10103550;610
S;10103570;611
S;10103950;611
S;10103610;612
S;10103630;613
S;10105030;614
S;10105330;615
T;G503;331050;11;00;lekbou;563;625;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;563
S;14314520;564
S;14314410;565
S;14314910;566
S;14315010;567
S;14315910;568
S;14315310;570
S;14315310;570
S;14316440;571
S;14315510;573
S;14315830;575
S;14311131;577
S;11319012;583
S;10125860;584
S;10125860;585
S;10124000;585
S;10007170;586
S;10005920;587
S;10007195;589
S;10007210;590
S;10007250;592
S;10009019;597
S;10009019;599
S;10008340;600
S;10008380;602
S;10006280;604
S;10005890;606
S;10006060;608
S;10006040;610
S;10006020;611
S;10001010;612
S;10101560;613
S;10101580;613
S;10105180;614
S;10105160;615
S;10105140;616
S;10105120;617
S;10103410;618
S;10103650;619
S;10103550;620
S;10103570;621
S;10103950;621
S;10103610;622
S;10103630;623
S;10105030;624
S;10105330;625
T;G503;331052;11;10;lekoos;573;635;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;573
S;14314710;574
S;14314810;575
S;14314910;576
S;14315010;577
S;14315910;578
S;14315310;580
S;14315310;580
S;14316440;581
S;14315510;583
S;14315830;585
S;14311131;587
S;11319012;593
S;10125860;594
S;10125860;595
S;10124000;595
S;10007170;596
S;10005920;597
S;10007195;599
S;10007210;600
S;10007250;602
S;10009019;607
S;10009019;609
S;10008340;610
S;10008380;612
S;10006280;614
S;10005890;616
S;10006060;618
S;10006040;620
S;10006020;621
S;10001010;622
S;10101560;623
S;10101580;623
S;10105180;624
S;10105160;625
S;10105140;626
S;10105120;627
S;10103410;628
S;10103650;629
S;10103550;630
S;10103570;631
S;10103950;631
S;10103610;632
S;10103630;633
S;10105030;634
S;10105330;635
T;G503;331054;11;00;lekbou;586;648;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;586
S;14314520;587
S;14314410;588
S;14314910;589
S;14315010;590
S;14315910;591
S;14315310;593
S;14315310;593
S;14316440;594
S;14315510;596
S;14315830;598
S;14311131;600
S;11319012;606
S;10125860;607
S;10125860;608
S;10124000;608
S;10007170;609
S;10005920;610
S;10007195;612
S;10007210;613
S;10007250;615
S;10009019;620
S;10009019;622
S;10008340;623
S;10008380;625
S;10006280;627
S;10005890;629
S;10006060;631
S;10006040;633
S;10006020;634
S;10001010;635
S;10101560;636
S;10101580;636
S;10105180;637
S;10105160;638
S;10105140;639
S;10105120;640
S;10103410;641
S;10103650;642
S;10103550;643
S;10103570;644
S;10103950;644
S;10103610;645
S;10103630;646
S;10105030;647
S;10105330;648
T;G503;331056;11;10;lekoos;601;663;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;601
S;14314710;602
S;14314810;603
S;14314910;604
S;14315010;605
S;14315910;606
S;14315310;608
S;14315310;608
S;14316440;609
S;14315510;611
S;14315830;613
S;14311131;615
S;11319012;621
S;10125860;622
S;10125860;623
S;10124000;623
S;10007170;624
S;10005920;625
S;10007195;627
S;10007210;628
S;10007250;630
S;10009019;635
S;10009019;637
S;10008340;638
S;10008380;640
S;10006280;642
S;10005890;644
S;10006060;646
S;10006040;648
S;10006020;649
S;10001010;650
S;10101560;651
S;10101580;651
S;10105180;652
S;10105160;653
S;10105140;654
S;10105120;655
S;10103410;656
S;10103650;657
S;10103550;658
S;10103570;659
S;10103950;659
S;10103610;660
S;10103630;661
S;10105030;662
S;10105330;663
T;G503;331058;11;10;lekoos;616;678;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;616
S;14314710;617
S;14314810;618
S;14314910;619
S;14315010;620
S;14315910;621
S;14315310;623
S;14315310;623
S;14316440;624
S;14315510;626
S;14315830;628
S;14311131;630
S;11319012;636
S;10125860;637
S;10125860;638
S;10124000;638
S;10007170;639
S;10005920;640
S;10007195;642
S;10007210;643
S;10007250;645
S;10009019;650
S;10009019;652
S;10008340;653
S;10008380;655
S;10006280;657
S;10005890;659
S;10006060;661
S;10006040;663
S;10006020;664
S;10001010;665
S;10101560;666
S;10101580;666
S;10105180;667
S;10105160;668
S;10105140;669
S;10105120;670
S;10103410;671
S;10103650;672
S;10103550;673
S;10103570;674
S;10103950;674
S;10103610;675
S;10103630;676
S;10105030;677
S;10105330;678
T;G503;331060;11;00;lekbou;631;693;gngrui;lekbou;gngrui;E18B;;;0;1;12345;29.268;;
S;14313720;631
S;14314520;632
S;14314410;633
S;14314910;634
S;14315010;635
S;14315910;636
S;14315310;638
S;14315310;638
S;14316440;639
S;14315510;641
S;14315830;643
S;14311131;645
S;11319012;651
S;10125860;652
S;10125860;653
S;10124000;653
S;10007170;654
S;10005920;655
S;10007195;657
S;10007210;658
S;10007250;660
S;10009019;665
S;10009019;667
S;10008340;668
S;10008380;670
S;10006280;672
S;10005890;674
S;10006060;676
S;10006040;678
S;10006020;679
S;10001010;680
S;10101560;681
S;10101580;681
S;10105180;682
S;10105160;683
S;10105140;684
S;10105120;685
S;10103410;686
S;10103650;687
S;10103550;688
S;10103570;689
S;10103950;689
S;10103610;690
S;10103630;691
S;10105030;692
S;10105330;693
T;G503;331062;11;10;lekoos;646;708;gngrui;lekoos;gngrui;E18B;;;0;1;12345;29.502;;
S;14314610;646
S;14314710;647
S;14314810;648
S;14314910;649
S;14315010;650
S;14315910;651
S;14315310;653
S;14315310;653
S;14316440;654
S;14315510;656
S;14315830;658
S;14311131;660
S;11319012;666
S;10125860;667
S;10125860;668
S;10124000;668
S;10007170;669
S;10005920;670
S;10007195;672
S;10007210;673
S;10007250;675
S;10009019;680
S;10009019;682
S;10008340;683
S;10008380;685
S;10006280;687
S;10005890;689
