C;c:\optibus\bru_elec_qlink.txt
V;378_2020;1;nwe_gar;1
S;59150260;739
S;59150201;739
S;59150710;741
S;59150730;742
S;59150750;743
S;59150770;744
S;59150790;745
S;59150810;746
S;59151260;747
S;59152030;748
S;59150850;750
S;59155097;752
S;50006170;753
S;50000390;754
S;50000670;755
S;50001490;756
S;50001470;756
S;50001450;758
S;50000202;766
S;50000201;731
S;50000190;734
S;50000410;736
S;50000430;737
S;50000450;738
S;50000470;739
S;59150150;740
S;59150550;741
S;59150330;742
S;59151600;744
S;59150530;745
S;59151730;746
S;59151770;747
S;59150260;749
S;59150201;749
S;59150710;751
S;59150730;752
S;59150750;753
S;59150770;754
S;59150790;755
S;59150810;756
S;59151260;757
S;59152030;758
S;59150850;760
S;59155097;762
S;50006170;763
S;50000390;764
S;50000670;765
S;50001490;766
S;50001470;766
S;50001450;768
S;50000202;776
S;50000201;741
S;50000190;744
S;50000410;746
S;50000430;747
S;50000450;748
S;50000470;749
S;59150150;750
S;59150550;751
S;59150330;752
S;59151600;754
S;59150530;755
S;59151730;756
S;59151770;757
S;59150260;759
S;59150201;759
S;59150710;761
S;59150730;762
S;59150750;763
S;59150770;764
S;59150790;765
S;59150810;766
S;59151260;767
S;59152030;768
S;59150850;770
S;59155097;772
S;50006170;773
S;50000390;774
S;50000670;775
S;50001490;776
S;50001470;776
S;50001450;778
S;50000202;786
S;50000201;751
S;50000190;754
S;50000410;756
S;50000430;757
S;50000450;758
S;50000470;759
S;59150150;760
S;59150550;761
S;59150330;762
S;59151600;764
S;59150530;765
S;59151730;766
S;59151770;767
S;59150260;769
S;59150201;769
S;59150710;771
S;59150730;772
S;59150750;773
S;59150770;774
S;59150790;775
S;59150810;776
S;59151260;777
S;59152030;778
S;59150850;780
S;59155097;782
S;50006170;783
S;50000390;784
S;50000670;785
S;50001490;786
S;50001470;786
S;50001450;788
S;50000202;796
S;50000201;761
S;50000190;764
S;50000410;766
S;50000430;767
S;50000450;768
S;50000470;769
S;59150150;770
S;59150550;771
S;59150330;772
S;59151600;774
S;59150530;775
S;59151730;776
S;59151770;777
S;59150260;779
S;59150201;779
S;59150710;781
S;59150730;782
S;59150750;783
S;59150770;784
S;59150790;785
S;59150810;786
S;59151260;787
S;59152030;788
S;59150850;790
S;59155097;792
S;50006170;793
S;50000390;794
S;50000670;795
S;50001490;796
S;50001470;796
S;50001450;798
S;50000202;806
S;50000201;771
S;50000190;774
S;50000410;776
S;50000430;777
S;50000450;778
S;50000470;779
S;59150150;780
S;59150550;781
S;59150330;782
S;59151600;784
S;59150530;785
S;59151730;786
S;59151770;787
S;59150260;789
S;59150201;789
S;59150710;791
S;59150730;792
S;59150750;793
S;59150770;794
S;59150790;795
S;59150810;796
S;59151260;797
S;59152030;798
S;59150850;800
S;59155097;802
S;50006170;803
S;50000390;804
S;50000670;805
S;50001490;806
S;50001470;806
S;50001450;808
S;50000202;816
S;50000201;781
S;50000190;784
S;50000410;786
S;50000430;787
S;50000450;788
S;50000470;789
S;59150150;790
S;59150550;791
S;59150330;792
S;59151600;794
S;59150530;795
S;59151730;796
S;59151770;797
S;59150260;799
S;59150201;799
S;59150710;801
S;59150730;802
S;59150750;803
S;59150770;804
S;59150790;805
S;59150810;806
S;59151260;807
S;59152030;808
S;59150850;810
S;59155097;812
S;50006170;813
S;50000390;814
S;50000670;815
S;50001490;816
S;50001470;816
S;50001450;818
S;50000202;826
S;50000201;791
S;50000190;794
S;50000410;796
S;50000430;797
S;50000450;798
S;50000470;799
S;59150150;800
S;59150550;801
S;59150330;802
S;59151600;804
S;59150530;805
S;59151730;806
S;59151770;807
S;59150260;809
S;59150201;809
S;59150710;811
S;59150730;812
S;59150750;813
S;59150770;814
S;59150790;815
S;59150810;816
S;59151260;817
S;59152030;818
S;59150850;820
S;59155097;822
S;50006170;823
S;50000390;824
S;50000670;825
S;50001490;826
S;50001470;826
S;50001450;828
S;50000202;836
S;50000201;801
S;50000190;804
S;50000410;806
S;50000430;807
S;50000450;808
S;50000470;809
S;59150150;810
S;59150550;811
S;59150330;812
S;59151600;814
S;59150530;815
S;59151730;816
S;59151770;817
S;59150260;819
S;59150201;819
S;59150710;821
S;59150730;822
S;59150750;823
S;59150770;824
S;59150790;825
S;59150810;826
S;59151260;827
S;59152030;828
S;59150850;830
S;59155097;832
S;50006170;833
S;50000390;834
S;50000670;835
S;50001490;836
S;50001470;836
S;50001450;838
S;50000202;846
S;50000201;811
S;50000190;814
S;50000410;816
S;50000430;817
S;50000450;818
S;50000470;819
S;59150150;820
S;59150550;821
S;59150330;822
S;59151600;824
S;59150530;825
S;59151730;826
S;59151770;827
S;59150260;829
S;59150201;829
S;59150710;831
S;59150730;832
S;59150750;833
S;59150770;834
S;59150790;835
S;59150810;836
S;59151260;837
S;59152030;838
S;59150850;840
S;59155097;842
S;50006170;843
S;50000390;844
S;50000670;845
S;50001490;846
S;50001470;847
S;50001450;849
S;50000202;857
S;50000201;821
S;50000190;824
S;50000410;826
S;50000430;827
S;50000450;828
S;50000470;829
S;59150150;830
S;59150550;831
S;59150330;832
S;59151600;834
S;59150530;835
S;59151730;836
S;59151770;837
S;59150260;839
S;59150201;839
S;59150710;841
S;59150730;842
S;59150750;843
S;59150770;844
S;59150790;845
S;59150810;846
S;59151260;847
S;59152030;848
S;59150850;850
S;59155097;852
S;50006170;853
S;50000390;854
S;50000670;855
S;50001490;856
S;50001470;857
S;50001450;859
S;50000202;867
S;50000201;831
S;50000190;834
S;50000410;836
S;50000430;837
S;50000450;838
S;50000470;839
S;59150150;840
S;59150550;841
S;59150330;842
S;59151600;844
S;59150530;845
S;59151730;846
S;59151770;847
S;59150260;849
S;59150201;849
S;59150710;851
S;59150730;852
S;59150750;853
S;59150770;854
S;59150790;855
S;59150810;856
S;59151260;857
S;59152030;858
S;59150850;860
S;59155097;862
S;50006170;863
S;50000390;864
S;50000670;865
S;50001490;866
S;50001470;867
S;50001450;869
S;50000202;877
S;50000201;841
S;50000190;844
S;50000410;846
S;50000430;847
S;50000450;849
S;50000470;850
S;59150150;851
S;59150550;852
S;59150330;853
S;59151600;855
S;59150530;856
S;59151730;857
S;59151770;858
S;59150260;860
S;59150201;860
S;59150710;862
S;59150730;863
S;59150750;864
S;59150770;865
S;59150790;866
S;59150810;867
S;59151260;868
S;59152030;869
S;59150850;871
S;59155097;873
S;50006170;874
S;50000390;875
S;50000670;876
S;50001490;877
S;50001470;878
S;50001450;880
S;50000202;888
S;50000201;851
S;50000190;854
S;50000410;856
S;50000430;857
S;50000450;859
S;50000470;860
S;59150150;861
S;59150550;862
S;59150330;863
S;59151600;865
S;59150530;866
S;59151730;867
S;59151770;868
S;59150260;870
S;59150201;870
S;59150710;872
S;59150730;873
S;59150750;874
S;59150770;875
S;59150790;876
S;59150810;877
S;59151260;878
S;59152030;879
S;59150850;881
S;59155097;883
S;50006170;884
S;50000390;885
S;50000670;886
S;50001490;887
S;50001470;888
S;50001450;890
S;50000202;898
S;50000201;861
S;50000190;864
S;50000410;866
S;50000430;867
S;50000450;869
S;50000470;870
S;59150150;871
S;59150550;872
S;59150330;873
S;59151600;875
S;59150530;876
S;59151730;877
S;59151770;878
S;59150260;880
S;59150201;880
S;59150710;882
S;59150730;883
S;59150750;884
S;59150770;885
S;59150790;886
S;59150810;887
S;59151260;888
S;59152030;889
S;59150850;891
S;59155097;893
S;50006170;894
S;50000390;895
S;50000670;896
S;50001490;897
S;50001470;898
S;50001450;900
S;50000202;908
S;50000201;871
S;50000190;874
S;50000410;876
S;50000430;877
S;50000450;879
S;50000470;880
S;59150150;881
S;59150550;882
S;59150330;883
S;59151600;885
S;59150530;886
S;59151730;887
S;59151770;888
S;59150260;890
S;59150201;890
S;59150710;892
S;59150730;893
S;59150750;894
S;59150770;895
S;59150790;896
S;59150810;897
S;59151260;898
S;59152030;899
S;59150850;901
S;59155097;903
S;50006170;904
S;50000390;905
S;50000670;906
S;50001490;907
S;50001470;908
S;50001450;910
S;50000202;918
S;50000201;881
S;50000190;884
S;50000410;886
S;50000430;887
S;50000450;889
S;50000470;890
S;59150150;891
S;59150550;892
S;59150330;893
S;59151600;895
S;59150530;896
S;59151730;897
S;59151770;898
S;59150260;900
S;59150201;900
S;59150710;902
S;59150730;903
S;59150750;904
S;59150770;905
S;59150790;906
S;59150810;907
S;59151260;908
S;59152030;909
S;59150850;911
S;59155097;913
S;50006170;914
S;50000390;915
S;50000670;916
S;50001490;917
S;50001470;918
S;50001450;920
S;50000202;928
S;50000201;891
S;50000190;894
S;50000410;896
S;50000430;897
S;50000450;899
S;50000470;900
S;59150150;901
S;59150550;902
S;59150330;903
S;59151600;905
S;59150530;906
S;59151730;907
S;59151770;908
S;59150260;910
S;59150201;910
S;59150710;912
S;59150730;913
S;59150750;914
S;59150770;915
S;59150790;916
S;59150810;917
S;59151260;918
S;59152030;919
S;59150850;921
S;59155097;923
S;50006170;924
S;50000390;925
S;50000670;926
S;50001490;927
S;50001470;928
S;50001450;930
S;50000202;938
S;50000201;901
S;50000190;904
S;50000410;906
S;50000430;907
S;50000450;909
S;50000470;910
S;59150150;911
S;59150550;912
S;59150330;913
S;59151600;915
S;59150530;916
S;59151730;917
S;59151770;918
S;59150260;920
S;59150201;920
S;59150710;922
S;59150730;923
S;59150750;924
S;59150770;925
S;59150790;926
S;59150810;927
S;59151260;928
S;59152030;929
S;59150850;931
S;59155097;933
S;50006170;934
S;50000390;935
S;50000670;936
S;50001490;937
S;50001470;938
S;50001450;940
S;50000202;948
S;50000201;911
S;50000190;914
S;50000410;916
S;50000430;917
S;50000450;919
S;50000470;920
S;59150150;921
S;59150550;922
S;59150330;923
S;59151600;925
S;59150530;926
S;59151730;927
S;59151770;928
S;59150260;930
S;59150201;930
S;59150710;932
S;59150730;933
S;59150750;934
S;59150770;935
S;59150790;936
S;59150810;937
S;59151260;938
S;59152030;939
S;59150850;941
S;59155097;943
S;50006170;944
S;50000390;945
S;50000670;946
S;50001490;947
S;50001470;948
S;50001450;950
S;50000202;958
S;50000201;921
S;50000190;924
S;50000410;926
S;50000430;927
S;50000450;929
S;50000470;930
S;59150150;931
S;59150550;932
S;59150330;933
S;59151600;935
S;59150530;936
S;59151730;937
S;59151770;938
S;59150260;940
S;59150201;940
S;59150710;942
S;59150730;943
S;59150750;944
S;59150770;945
S;59150790;946
S;59150810;947
S;59151260;948
S;59152030;949
S;59150850;951
S;59155097;953
S;50006170;954
S;50000390;955
S;50000670;956
S;50001490;957
S;50001470;958
S;50001450;960
S;50000202;968
S;50000201;931
S;50000190;934
S;50000410;936
S;50000430;937
S;50000450;939
S;50000470;940
S;59150150;941
S;59150550;942
S;59150330;943
S;59151600;945
S;59150530;946
S;59151730;947
S;59151770;948
S;59150260;950
S;59150201;950
S;59150710;952
S;59150730;953
S;59150750;954
S;59150770;955
S;59150790;956
S;59150810;957
S;59151260;958
S;59152030;959
S;59150850;961
S;59155097;963
S;50006170;964
S;50000390;965
S;50000670;966
S;50001490;967
S;50001470;968
S;50001450;970
S;50000202;978
S;50000201;941
S;50000190;944
S;50000410;946
S;50000430;947
S;50000450;949
S;50000470;950
S;59150150;951
S;59150550;952
S;59150330;953
S;59151600;955
S;59150530;956
S;59151730;957
S;59151770;958
S;59150260;960
S;59150201;960
S;59150710;962
S;59150730;963
S;59150750;964
S;59150770;965
S;59150790;966
S;59150810;967
S;59151260;968
S;59152030;969
S;59150850;971
S;59155097;973
S;50006170;974
S;50000390;975
S;50000670;976
S;50001490;977
S;50001470;978
S;50001450;980
S;50000202;988
S;50000201;951
S;50000190;954
S;50000410;956
S;50000430;957
S;50000450;959
S;50000470;960
S;59150150;961
S;59150550;962
S;59150330;963
S;59151600;965
S;59150530;966
S;59151730;967
S;59151770;968
S;59150260;970
S;59150201;970
S;59150710;972
S;59150730;973
S;59150750;974
S;59150770;975
S;59150790;976
S;59150810;977
S;59151260;978
S;59152030;979
S;59150850;981
S;59155097;983
S;50006170;984
S;50000390;985
S;50000670;986
S;50001490;987
S;50001470;988
S;50001450;990
S;50000202;998
S;50000201;961
S;50000190;964
S;50000410;966
S;50000430;967
S;50000450;969
S;50000470;970
S;59150150;971
S;59150550;972
S;59150330;973
S;59151600;975
S;59150530;976
S;59151730;977
S;59151770;978
S;59150260;980
S;59150201;980
S;59150710;982
S;59150730;983
S;59150750;984
S;59150770;985
S;59150790;986
S;59150810;987
S;59151260;988
S;59152030;989
S;59150850;991
S;59155097;993
S;50006170;994
S;50000390;995
S;50000670;996
S;50001490;997
S;50001470;998
S;50001450;1000
S;50000202;1008
S;50000201;971
S;50000190;974
S;50000410;976
S;50000430;977
S;50000450;979
S;50000470;980
S;59150150;981
S;59150550;982
S;59150330;983
S;59151600;985
S;59150530;986
S;59151730;987
S;59151770;988
S;59150260;990
S;59150201;990
S;59150710;992
S;59150730;993
S;59150750;994
S;59150770;995
S;59150790;996
S;59150810;997
S;59151260;998
S;59152030;999
S;59150850;1001
S;59155097;1003
S;50006170;1004
S;50000390;1005
S;50000670;1006
S;50001490;1007
S;50001470;1008
S;50001450;1010
S;50000202;1018
S;50000201;981
S;50000190;984
S;50000410;986
S;50000430;987
S;50000450;989
S;50000470;990
S;59150150;991
S;59150550;992
S;59150330;993
S;59151600;995
S;59150530;996
S;59151730;997
S;59151770;998
S;59150260;1000
S;59150201;1000
S;59150710;1002
S;59150730;1003
S;59150750;1004
S;59150770;1005
S;59150790;1006
S;59150810;1007
S;59151260;1008
S;59152030;1009
S;59150850;1011
S;59155097;1013
S;50006170;1014
S;50000390;1015
S;50000670;1016
S;50001490;1017
S;50001470;1018
S;50001450;1020
S;50000202;1028
S;50000201;991
S;50000190;994
S;50000410;996
S;50000430;997
S;50000450;999
S;50000470;1000
S;59150150;1001
S;59150550;1002
S;59150330;1003
S;59151600;1005
S;59150530;1006
S;59151730;1007
S;59151770;1008
S;59150260;1010
S;59150201;1010
S;59150710;1012
S;59150730;1013
S;59150750;1014
S;59150770;1015
S;59150790;1016
S;59150810;1017
S;59151260;1018
S;59152030;1019
S;59150850;1021
S;59155097;1023
S;50006170;1024
S;50000390;1025
S;50000670;1026
S;50001490;1027
S;50001470;1028
S;50001450;1030
S;50000202;1038
S;50000201;1001
S;50000190;1004
S;50000410;1006
S;50000430;1007
S;50000450;1009
S;50000470;1010
S;59150150;1011
S;59150550;1012
S;59150330;1013
S;59151600;1015
S;59150530;1016
S;59151730;1017
S;59151770;1018
S;59150260;1020
S;59150201;1020
S;59150710;1022
S;59150730;1023
S;59150750;1024
S;59150770;1025
S;59150790;1026
S;59150810;1027
S;59151260;1028
S;59152030;1029
S;59150850;1031
S;59155097;1033
S;50006170;1034
S;50000390;1035
S;50000670;1036
S;50001490;1037
S;50001470;1038
S;50001450;1040
S;50000202;1048
S;50000201;1011
S;50000190;1014
S;50000410;1016
S;50000430;1017
S;50000450;1019
S;50000470;1020
S;59150150;1021
S;59150550;1022
S;59150330;1023
S;59151600;1025
S;59150530;1026
S;59151730;1027
S;59151770;1028
S;59150260;1030
S;59150201;1030
S;59150710;1032
S;59150730;1033
S;59150750;1034
S;59150770;1035
S;59150790;1036
S;59150810;1037
S;59151260;1038
S;59152030;1039
S;59150850;1041
S;59155097;1043
S;50006170;1044
S;50000390;1045
S;50000670;1046
S;50001490;1047
S;50001470;1048
S;50001450;1050
S;50000202;1058
S;50000201;1021
S;50000190;1024
S;50000410;1026
S;50000430;1027
S;50000450;1029
S;50000470;1030
S;59150150;1031
S;59150550;1032
S;59150330;1033
S;59151600;1035
S;59150530;1036
S;59151730;1037
S;59151770;1038
S;59150260;1040
S;59150201;1040
S;59150710;1042
S;59150730;1043
S;59150750;1044
S;59150770;1045
S;59150790;1046
S;59150810;1047
S;59151260;1048
S;59152030;1049
S;59150850;1051
S;59155097;1053
S;50006170;1054
S;50000390;1055
S;50000670;1056
S;50001490;1057
S;50001470;1058
S;50001450;1060
S;50000202;1068
S;50000201;1031
S;50000190;1034
S;50000410;1036
S;50000430;1037
S;50000450;1039
S;50000470;1040
S;59150150;1041
S;59150550;1042
S;59150330;1043
S;59151600;1045
S;59150530;1046
S;59151730;1047
S;59151770;1048
S;59150260;1050
S;59150201;1050
S;59150710;1052
S;59150730;1053
S;59150750;1054
S;59150770;1055
S;59150790;1056
S;59150810;1057
S;59151260;1058
S;59152030;1059
S;59150850;1061
S;59155097;1063
S;50006170;1064
S;50000390;1065
S;50000670;1066
S;50001490;1067
S;50001470;1068
S;50001450;1070
S;50000202;1078
S;50000201;1041
S;50000190;1044
S;50000410;1046
S;50000430;1047
S;50000450;1049
S;50000470;1050
S;59150150;1051
S;59150550;1052
S;59150330;1053
S;59151600;1055
S;59150530;1056
S;59151730;1057
S;59151770;1058
S;59150260;1060
S;59150201;1060
S;59150710;1062
S;59150730;1063
S;59150750;1064
S;59150770;1065
S;59150790;1066
S;59150810;1067
S;59151260;1068
S;59152030;1069
S;59150850;1071
S;59155097;1073
S;50006170;1074
S;50000390;1075
S;50000670;1076
S;50001490;1077
S;50001470;1078
S;50001450;1080
S;50000202;1088
S;50000201;1051
S;50000190;1054
S;50000410;1056
S;50000430;1057
S;50000450;1059
S;50000470;1060
S;59150150;1061
S;59150550;1062
S;59150330;1063
S;59151600;1065
S;59150530;1066
S;59151730;1067
S;59151770;1068
S;59150260;1070
S;59150201;1070
S;59150710;1072
S;59150730;1073
S;59150750;1074
S;59150770;1075
S;59150790;1076
S;59150810;1077
S;59151260;1078
S;59152030;1079
S;59150850;1081
S;59155097;1083
S;50006170;1084
S;50000390;1085
S;50000670;1086
S;50001490;1087
S;50001470;1088
S;50001450;1090
S;50000202;1098
S;50000201;1061
S;50000190;1064
S;50000410;1066
S;50000430;1067
S;50000450;1069
S;50000470;1070
S;59150150;1071
S;59150550;1072
S;59150330;1073
S;59151600;1075
S;59150530;1076
S;59151730;1077
S;59151770;1078
S;59150260;1080
S;59150201;1080
S;59150710;1082
S;59150730;1083
S;59150750;1084
S;59150770;1085
S;59150790;1086
S;59150810;1087
S;59151260;1088
S;59152030;1089
S;59150850;1091
S;59155097;1093
S;50006170;1094
S;50000390;1095
S;50000670;1096
S;50001490;1097
S;50001470;1098
S;50001450;1100
S;50000202;1108
S;50000201;1071
S;50000190;1074
S;50000410;1076
S;50000430;1077
S;50000450;1079
S;50000470;1080
S;59150150;1081
S;59150550;1082
S;59150330;1083
S;59151600;1085
S;59150530;1086
S;59151730;1087
S;59151770;1088
S;59150260;1090
S;59150201;1090
S;59150710;1092
S;59150730;1093
S;59150750;1094
S;59150770;1095
S;59150790;1096
S;59150810;1097
S;59151260;1098
S;59152030;1099
S;59150850;1101
S;59155097;1103
S;50006170;1104
S;50000390;1105
S;50000670;1106
S;50001490;1107
S;50001470;1108
S;50001450;1110
S;50000202;1117
S;50000201;1081
S;50000190;1084
S;50000410;1086
S;50000430;1087
S;50000450;1089
S;50000470;1090
S;59150150;1091
S;59150550;1092
S;59150330;1093
S;59151600;1095
S;59150530;1096
S;59151730;1097
S;59151770;1098
S;59150260;1100
S;59150201;1100
S;59150710;1102
S;59150730;1103
S;59150750;1104
S;59150770;1105
S;59150790;1106
S;59150810;1107
S;59151260;1108
S;59152030;1109
S;59150850;1111
S;59155097;1113
S;50006170;1114
S;50000390;1115
S;50000670;1116
S;50001490;1117
S;50001470;1117
S;50001450;1119
S;50000202;1126
S;50000201;1096
S;50000190;1099
S;50000410;1101
S;50000430;1102
S;50000450;1104
S;50000470;1105
S;59150150;1106
S;59150550;1107
S;59150330;1108
S;59151600;1110
S;59150530;1111
S;59151730;1112
S;59151770;1113
S;59150260;1115
S;59150201;1115
S;59150710;1117
S;59150730;1118
S;59150750;1119
S;59150770;1120
S;59150790;1121
S;59150810;1122
S;59151260;1123
S;59152030;1124
S;59150850;1125
S;59155097;1127
S;50006170;1128
S;50000390;1129
S;50000670;1130
S;50001490;1131
S;50001470;1131
S;50001450;1133
S;50000202;1140
S;50000201;1111
S;50000190;1114
S;50000410;1116
S;50000430;1117
S;50000450;1118
S;50000470;1119
S;59150150;1120
S;59150550;1121
S;59150330;1122
S;59151600;1124
S;59150530;1125
S;59151730;1126
S;59151770;1127
S;59150260;1129
S;59150201;1129
S;59150710;1131
S;59150730;1132
S;59150750;1133
S;59150770;1134
S;59150790;1135
S;59150810;1136
S;59151260;1137
S;59152030;1138
S;59150850;1139
S;59155097;1141
S;50006170;1142
S;50000390;1143
S;50000670;1144
S;50001490;1145
S;50001470;1145
S;50001450;1147
S;50000202;1154
S;50000201;1126
S;50000190;1129
S;50000410;1131
S;50000430;1132
S;50000450;1133
S;50000470;1134
S;59150150;1135
S;59150550;1136
S;59150330;1137
S;59151600;1139
S;59150530;1140
S;59151730;1141
S;59151770;1142
S;59150260;1144
S;59150201;1144
S;59150710;1146
S;59150730;1147
S;59150750;1148
S;59150770;1149
S;59150790;1150
S;59150810;1151
S;59151260;1152
S;59152030;1153
S;59150850;1154
S;59155097;1156
S;50006170;1157
S;50000390;1158
S;50000670;1159
S;50001490;1160
S;50001470;1160
S;50001450;1162
S;50000202;1169
S;50000201;1141
S;50000190;1144
S;50000410;1146
S;50000430;1147
S;50000450;1148
S;50000470;1149
S;59150150;1150
S;59150550;1151
S;59150330;1152
S;59151600;1154
S;59150530;1155
S;59151730;1156
S;59151770;1157
S;59150260;1159
S;59150201;1159
S;59150710;1161
S;59150730;1162
S;59150750;1163
S;59150770;1164
S;59150790;1165
S;59150810;1166
S;59151260;1167
S;59152030;1168
S;59150850;1169
S;59155097;1171
S;50006170;1172
S;50000390;1173
S;50000670;1174
S;50001490;1175
S;50001470;1175
S;50001450;1177
S;50000202;1184
S;50000201;1156
S;50000190;1159
S;50000410;1161
S;50000430;1162
S;50000450;1163
S;50000470;1164
S;59150150;1165
S;59150550;1166
S;59150330;1167
S;59151600;1169
S;59150530;1170
S;59151730;1171
S;59151770;1172
S;59150260;1174
S;59150201;1174
S;59150710;1176
S;59150730;1177
S;59150750;1178
S;59150770;1179
S;59150790;1180
S;59150810;1181
S;59151260;1182
S;59152030;1183
S;59150850;1184
S;59155097;1186
S;50006170;1187
S;50000390;1188
S;50000670;1189
S;50001490;1190
S;50001470;1190
S;50001450;1192
S;50000202;1199
S;50000201;1171
S;50000190;1174
S;50000410;1176
S;50000430;1177
S;50000450;1178
S;50000470;1179
S;59150150;1180
S;59150550;1181
S;59150330;1182
S;59151600;1184
S;59150530;1185
S;59151730;1186
S;59151770;1187
S;59150260;1189
S;59150201;1189
S;59150710;1191
S;59150730;1192
S;59150750;1193
S;59150770;1194
S;59150790;1195
S;59150810;1196
S;59151260;1197
S;59152030;1198
S;59150850;1199
S;59155097;1201
S;50006170;1202
S;50000390;1203
S;50000670;1204
S;50001490;1205
S;50001470;1205
S;50001450;1207
S;50000202;1214
S;50000201;1186
S;50000190;1189
S;50000410;1191
S;50000430;1192
S;50000450;1193
S;50000470;1194
S;59150150;1195
S;59150550;1196
S;59150330;1197
S;59151600;1199
S;59150530;1200
S;59151730;1201
S;59151770;1202
S;59150260;1204
S;59150201;1204
S;59150710;1205
S;59150730;1206
S;59150750;1207
S;59150770;1208
S;59150790;1209
S;59150810;1210
S;59151260;1210
S;59152030;1211
S;59150850;1212
S;59155097;1214
S;50006170;1215
S;50000390;1216
S;50000670;1217
S;50001490;1218
S;50001470;1218
S;50001450;1220
S;50000202;1227
S;50000201;1201
S;50000190;1203
S;50000410;1205
S;50000430;1206
S;50000450;1207
S;50000470;1208
S;59150150;1209
S;59150550;1210
S;59150330;1211
S;59151600;1212
S;59150530;1213
S;59151730;1214
S;59151770;1215
S;59150260;1217
S;59150201;1217
S;59150710;1218
S;59150730;1219
S;59150750;1220
S;59150770;1221
S;59150790;1222
S;59150810;1223
S;59151260;1223
S;59152030;1224
S;59150850;1225
S;59155097;1227
S;50006170;1228
S;50000390;1229
S;50000670;1230
S;50001490;1231
S;50001470;1231
S;50001450;1233
S;50000202;1240
S;50000201;1216
S;50000190;1218
S;50000410;1220
S;50000430;1221
S;50000450;1222
S;50000470;1223
S;59150150;1224
S;59150550;1225
S;59150330;1226
S;59151600;1227
S;59150530;1228
S;59151730;1229
S;59151770;1230
S;59150260;1232
S;59150201;1232
S;59150710;1233
S;59150730;1234
S;59150750;1235
S;59150770;1236
S;59150790;1237
S;59150810;1238
S;59151260;1238
S;59152030;1239
S;59150850;1240
S;59155097;1242
S;50006170;1243
S;50000390;1244
S;50000670;1245
S;50001490;1246
S;50001470;1246
S;50001450;1248
S;50000202;1255
S;50000201;1231
S;50000190;1233
S;50000410;1235
S;50000430;1236
S;50000450;1237
S;50000470;1238
S;59150150;1239
S;59150550;1240
S;59150330;1241
S;59151600;1242
S;59150530;1243
S;59151730;1244
S;59151770;1245
S;59150260;1247
S;59150201;1247
S;59150710;1248
S;59150730;1249
S;59150750;1250
S;59150770;1251
S;59150790;1252
S;59150810;1253
S;59151260;1253
S;59152030;1254
S;59150850;1255
S;59155097;1257
S;50006170;1258
S;50000390;1259
S;50000670;1260
S;50001490;1261
S;50001470;1261
S;50001450;1263
S;50000202;1270
S;50000201;1246
S;50000190;1248
S;50000410;1250
S;50000430;1251
S;50000450;1252
S;50000470;1253
S;59150150;1254
S;59150550;1255
S;59150330;1256
S;59151600;1257
S;59150530;1258
S;59151730;1259
S;59151770;1260
S;59150260;1262
S;59150201;1262
S;59150710;1263
S;59150730;1264
S;59150750;1265
S;59150770;1266
S;59150790;1267
S;59150810;1268
S;59151260;1268
S;59152030;1269
S;59150850;1270
S;59155097;1272
S;50006170;1273
S;50000390;1274
S;50000670;1275
S;50001490;1276
S;50001470;1276
S;50001450;1278
S;50000202;1285
S;50000201;1261
S;50000190;1263
S;50000410;1265
S;50000430;1266
S;50000450;1267
S;50000470;1268
S;59150150;1269
S;59150550;1270
S;59150330;1271
S;59151600;1272
S;59150530;1273
S;59151730;1274
S;59151770;1275
S;59150260;1277
S;59150201;1277
S;59150710;1278
S;59150730;1279
S;59150750;1280
S;59150770;1281
S;59150790;1282
S;59150810;1283
S;59151260;1283
S;59152030;1284
S;59150850;1285
S;59155097;1287
S;50006170;1288
S;50000390;1289
S;50000670;1290
S;50001490;1291
S;50001470;1291
S;50001450;1293
S;50000202;1300
S;50000201;1276
S;50000190;1278
S;50000410;1280
S;50000430;1281
S;50000450;1282
S;50000470;1283
S;59150150;1284
S;59150550;1285
S;59150330;1286
S;59151600;1287
S;59150530;1288
S;59151730;1289
S;59151770;1290
S;59150260;1292
S;59150201;1292
S;59150710;1293
S;59150730;1294
S;59150750;1295
S;59150770;1296
S;59150790;1297
S;59150810;1298
S;59151260;1298
S;59152030;1299
S;59150850;1300
S;59155097;1302
S;50006170;1303
S;50000390;1304
S;50000670;1305
S;50001490;1306
S;50001470;1306
S;50001450;1308
S;50000202;1315
S;50000201;1291
S;50000190;1293
S;50000410;1295
S;50000430;1296
S;50000450;1297
S;50000470;1298
S;59150150;1299
S;59150550;1300
S;59150330;1301
S;59151600;1302
S;59150530;1303
S;59151730;1304
S;59151770;1305
S;59150260;1307
S;59150201;1307
S;59150710;1308
S;59150730;1309
S;59150750;1310
S;59150770;1311
S;59150790;1312
S;59150810;1313
S;59151260;1313
S;59152030;1314
S;59150850;1315
S;59155097;1317
S;50006170;1318
S;50000390;1319
S;50000670;1320
S;50001490;1321
S;50001470;1321
S;50001450;1323
S;50000202;1329
S;50000201;1306
S;50000190;1308
S;50000410;1310
S;50000430;1311
S;50000450;1312
S;50000470;1313
S;59150150;1314
S;59150550;1315
S;59150330;1316
S;59151600;1317
S;59150530;1318
S;59151730;1319
S;59151770;1320
S;59150260;1322
S;59150201;1322
S;59150710;1323
S;59150730;1324
S;59150750;1324
S;59150770;1325
S;59150790;1326
S;59150810;1327
S;59151260;1327
S;59152030;1328
